refid,date,recipient,recipient_cleaned,office,amount
1393,07/16/2014,Diana DiZoglio,Diana DiZoglio,"Representative, 14th Essex",100.00
1393,07/23/2014,Mike Rodrigues,Michael J. Rodrigues,"State Senator, First Bristol and Plymouth",200.00
1393,07/24/2014,Brendan Crighton,Brendan P. Crighton,"Representative, 11th Essex",100.00
1393,07/29/2014,Mike Moran,Michael J. Moran,"Representative, 18th Suffolk",200.00
1393,07/30/2014,James Murphy,James M. Murphy,"Representative, 4th Norfolk",200.00
1393,07/31/2014,Marc Pacheco,Marc R. Pacheco,"State Senator, 1st Plymouth & Bristol",200.00
1393,08/06/2014,Warren Tolman,Warren Tolman,Candidate for Attorney General,200.00
1393,09/30/2014,Linda Dorcena Forry,Linda Dorcena Forry,"State Senate, 1st Suffolk",200.00
1393,10/01/2014,Barbara L'talien,Barbara L'Italien,"Candidate for State Senate, 2nd Essex & Middlesex",200.00
1393,10/01/2014,Dan Wolf,Daniel Wolf,"State Senate, Cape & Islands",200.00
1393,10/07/2014,Maura Healey,Maura Healey,Candidate for Attorney General,200.00
1393,10/10/2014,Martin Walsh,Martin Walsh,Mayor of Boston,200.00
1393,10/22/2014,Deb Goldberg,Deborah Goldberg,Candidate for State Treasurer,200.00
1393,12/03/2014,Eileen Donoghue,Eileen Donoghue,"State Senate, 1st Middlesex",200.00
1393,12/17/2014,Claire Cronin,Claire Cronin,"Representative, 11th Plymouth",200.00
1393,12/31/2014,Ed Deveau,Edward Deveau,"Representative, 1st Suffolk",200.00
1393,07/09/2014,Anthony Petruccelli,Anthony Petruccelli,"State Senator, 1st Suffolk & Middlesex",200.00
1393,07/15/2014,John Mahoney,John J. Mahoney,"Representative, 13th Worcester",200.00
1393,07/24/2014,Anne Gobi,Anne Gobi,"Representative, 5th Worcester",200.00
1393,07/29/2014,Michael Moran,Michael J. Moran,"Representative, 18th Suffolk",200.00
1393,07/29/2014,Kenneth Gordon,Kenneth Gordon,"Representative, 21st Middlesex",100.00
1393,07/29/2014,James Murphy,James M. Murphy,"Representative, 4th Norfolk",200.00
1393,07/29/2014,Warren Tolman,Warren Tolman,Candidate for Attorney General,200.00
1393,07/31/2014,Marc Pacheco,Marc R. Pacheco,"State Senator, 1st Plymouth & Bristol",200.00
1393,09/18/2014,Massachusetts Democratic Party,Massachusetts Democratic Party,State PAC,200.00
1393,09/30/2014,Linda Dorcena Forry,Linda Dorcena Forry,"Representative, 1st Suffolk",200.00
1393,10/01/2014,Dan Wolf,Daniel Wolf,"State Senator, Cape & Islands",200.00
1393,10/01/2014,Barbara L'Italien,Barbara L'Italien,"Candidate for State Senator, 2nd Essex & Middlesex",200.00
1393,10/01/2014,John Keenan,John F. Keenan,"State Senator, Norfolk and Plymouth",200.00
1393,10/07/2014,Maura Healey,Maura Healey,Candidate for Attorney General,200.00
1393,10/14/2014,Martin J. Walsh,Martin Walsh,Mayor of Boston,200.00
1393,12/03/2014,Eileen Donoghue,Eileen Donoghue,"State Senator, 1st Middlesex",200.00
1393,12/17/2014,Claire Cronin,Claire Cronin,"Representative, 11th Plymouth",200.00
1393,07/09/2014,Anthony Petruccelli,Anthony Petruccelli,"State Senator, 1st Suffolk & Middlesex",200.00
1393,07/15/2014,John Mahoney,John J. Mahoney,"Representative, 13th Worcester",200.00
1393,07/16/2014,Diana DiZoglio,Diana DiZoglio,"Representative, 14th Essex",200.00
1393,07/16/2014,Daniel Donahue,Daniel M. Donahue,"Representative, 16th Worcester",150.00
1393,07/22/2014,Michael Moran,Michael J. Moran,"Representative, 18th Suffolk",200.00
1393,07/22/2014,Anne Gobi,Anne Gobi,"Representative, 5th Worcester",200.00
1393,07/30/2014,James Murphy,James M. Murphy,"Representative, 4th Norfolk",200.00
1393,07/30/2014,John Rogers,John H. Rogers,"Representative, 12th Norfolk",100.00
1393,07/31/2014,Marc Pacheco,Marc R. Pacheco,"State Senator, 1st Plymouth & Bristol",200.00
1393,08/06/2014,Vincent DeMacedo,Viriato deMacedo,"State Senator, Plymouth & Barnstable",200.00
1393,08/06/2014,Rhonda Nyman,Rhonda Nyman,"Representative, 5th Plymouth",200.00
1393,09/16/2014,Ayanna Pressley,Ayanna Pressley,Boston City Council,200.00
1393,10/01/2014,John Keenan,John F. Keenan,"State Senator, Norfolk & Plymouth",200.00
1393,10/01/2014,Dan Wolf,Daniel Wolf,"State Senator, Cape & Islands",200.00
1393,10/01/2014,Barbara L'Italien,Barbara L'Italien,"Candidate for State Senator, 2nd Essex & Middlesex",200.00
1393,10/06/2014,Maura Healey,Maura Healey,Candidate for Attorney General,200.00
1393,12/03/2014,Eileen Donoghue,Eileen Donoghue,"State Senator, 1st Middlesex",200.00
1393,12/08/2014,Charlie Baker,Charles Baker,Governor,200.00
1393,12/08/2014,Karyn Polito,Karyn Polito,Lt. Governor,200.00
1393,12/17/2014,Marty Walsh,Martin Walsh,Mayor of Boston,200.00
1393,12/17/2014,Claire Cronin,Claire Cronin,"Representative, 11th Plymouth",200.00
1393,12/17/2014,Danielle Gregoire,Danielle Gregoire,"Representative, 4th Middlesex",200.00
1393,12/31/2014,Ed Deveau,Edward Deveau,"Candidate for Representative, 1st Suffolk",100.00
1393,07/15/2014,John Mahoney,John J. Mahoney,"Representative, 13th Worcester",200.00
1393,07/16/2014,Daniel Donahue,Daniel M. Donahue,"Representative, 16th Worcester",125.00
1393,07/16/2014,Denise Garlick,Denise Garlick,"Representative, 13th Norfolk",100.00
1393,07/24/2014,Brendan Crighton,Brendan P. Crighton,"Representative, 11th Essex",100.00
1393,07/29/2014,Michael Moran,Michael J. Moran,"Representative, 18th Suffolk",200.00
1393,07/31/2014,Marc Pacheco,Marc R. Pacheco,"State Senator, 1st Plymouth & Bristol",200.00
1393,09/15/2014,Ayanna Pressley,Ayanna Pressley,Boston City Council,125.00
1393,09/18/2014,Massachusetts Democratic Party,Massachusetts Democratic Party,State PAC,200.00
1393,09/24/2014,Carlo Basile,Carlo Basile,"Representative, 1st Suffolk",100.00
1393,09/30/2014,Linda Dorcena Forry,Linda Dorcena Forry,"State Senator, 1st Suffolk",200.00
1393,10/01/2014,John Keenan,John F. Keenan,"State Senator, Norfolk & Plymouth",200.00
1393,10/01/2014,Barbara L'Italien,Barbara L'Italien,"Candidate for State Senator, 2nd Essex & Middlesex",200.00
1393,10/08/2014,Setti Warren,Setti Warren,Mayor of Newton,200.00
1393,10/14/2014,Martin Walsh,Martin Walsh,Mayor of Boston,200.00
1393,10/22/2014,Deb Goldberg,Deborah Goldberg,Candidate for State Treasurer,200.00
1393,12/03/2014,Eileen Donoghue,Eileen Donoghue,"State Senator, 1st Middlesex",200.00
1393,12/17/2014,Claire Cronin,Claire Cronin,"Representative, 11th Plymouth",200.00
1393,12/30/2014,Edward Deveau,Edward Deveau,"Candidate for Representative, 1st Suffolk",200.00
1395,01/14/2014,Martha Coakley,Martha Coakley,Governor,50.00
1395,03/05/2014,Kay Khan,Kay Khan,Representative (11th Middlesex),100.00
1395,03/06/2014,Jeffrey Sanchez,Jeffrey Sánchez,Represenative (15th Suffolk),100.00
1395,03/15/2014,Tackey Chan,Tackey Chan,Representative (2nd Norfolk),50.00
1395,03/15/2014,James Welch,James T. Welch,Senator (Hampden),50.00
1395,04/30/2014,Martha Coakley,Martha Coakley,Governor,100.00
1395,05/13/2014,Harriette Chandler,Harriette Chandler,Senator (1st Worcester),100.00
1395,05/14/2014,Maura Healey,Maura Healey,Attorney General,50.00
1395,06/16/2014,John Keenan,John F. Keenan,Senator (Norfolk & Plymouth),200.00
1395,06/17/2014,Richard Moore,Richard Moore,Senator (Worcester & Norfolk),200.00
1395,06/23/2014,Barry Feingold,Barry Finegold,Treasurer,200.00
1395,07/16/2014,Denise Garlick,Denise Garlick,"Representative, 13th Norfolk District",100.00
1395,07/29/2014,Maura Healy,Maura Healey,Attorney General,50.00
1395,09/27/2014,Kevin Coughlin,Kevin Coughlin,City of Quincy City Councillor,50.00
1395,10/28/2014,Dorcena Forry,Linda Dorcena Forry,"Senator, 1st Suffolk",100.00
1395,12/17/2014,Marty Walsh,Martin Walsh,Mayor of the City of Boston,125.00
1397,01/07/2014,The Steve Walsh Committee,Steven Walsh,Rep. 11th Essex,200.00
1397,01/17/2014,Committee To Elect  Dan Hunt,Daniel Hunt,Rep. 13th Suffolk,125.00
1397,01/27/2014,The Vincent Committee,RoseLee Vincent,Rep. 16th Suffolk,100.00
1397,01/30/2014,Moore For Senate Committee,Richard Moore,Senate Worcester and Norfolk,150.00
1397,02/04/2014,Committee To Elect  Jason Lewis,Jason Lewis,Senate 5th Middlesex,100.00
1397,02/20/2014,The Brian A. Joyce   Committee,Brian Joyce,"Senate Norfolk, Bristol, and Plymouth",200.00
1397,02/20/2014,Committee To Elect Mike Moore,Michael Moore,Senate 2nd Worcester,150.00
1397,02/26/2014,Committee To Elect Harriette Chandler,Harriette Chandler,Senate 1st Worcester,200.00
1397,03/05/2014,Committee To Elect  Kay Khan,Kay Khan,Rep. 11th Middlesex,125.00
1397,03/05/2014,The Dempsey Committee,Brian Dempsey,Rep. 3rd Essex,200.00
1397,03/12/2014,Committee To Elect Jim Walsh,Jim Walsh,Senate Hampden,150.00
1397,03/18/2014,Friends of Paul Donato,Paul Donato,Rep. 35th Middlesex,150.00
1397,03/19/2014,The Basile Committee,Carlo Basile,Rep. 1st Suffolk,125.00
1397,03/25/2014,Committee To Elect  Tacky Chan,Tackey Chan,Rep. 2nd Norfolk,200.00
1397,03/26/2014,Committee To Elect Rhonda Nyman,Rhonda Nyman,Rep. 5th Plymouth,100.00
1397,03/27/2014,Committee To Elect Ronald Mariano,Ronald Mariano,Rep. 3rd Norfolk,200.00
1397,03/31/2014,Steve Brewer  Committee,Stephen Brewer,"Senate Worcester, Hampden, Hampshire, and Middlesex",200.00
1397,03/31/2014,Committee To Elect Tony  Cabral,Antonio Cabral,Rep. 13th Bristol,100.00
1397,03/31/2014,OÃ¢Â€Â™ Connor Ives  Committee,Kathleen O'Connor Ives,Senate 1st Essex,200.00
1397,03/31/2014,The Jones  Committee,Bradley H. Jones,Rep. 20th Middlesex,200.00
1397,03/31/2014,Citizens for Steve Kulik,Stephen Kulik,Rep. 1st Franklin,150.00
1397,04/03/2014,Committee To Elect Therese Murray,Therese Murray,Senate Plymouth and Barnstable,200.00
1397,04/03/2014,Committee To Elect Michael Finn,Michael J. Finn,Rep. 6th Hampden,150.00
1397,04/03/2014,Committee To Elect Garrett Bradley,Garrett Bradley,Rep. 3rd Plymouth,150.00
1397,04/03/2014,Committee for Bob DeLeo,Robert DeLeo,Rep. 19th Suffolk,200.00
1397,04/03/2014,Michael Morrissey,Michael Morrissey,District Attorney Norfolk,125.00
1397,04/03/2014,Committee To Elect Michael Moore,Michael Moore,Senate 2nd Worcester,100.00
1397,04/03/2014,The Ferrante  Committee,Ann-Margaret Ferrante,Rep. 5th Essex,100.00
1397,04/08/2014,The  Cusack Committee,Mark J. Cusack,Rep. 5th Norfolk,150.00
1397,04/15/2014,Committee To Elect   Aaron Michlewitz,Aaron Michlewitz,Rep. 3rd Suffolk,150.00
1397,04/15/2014,Committee To Elect  Paul Brodeur,Paul Brodeur,Rep. 32nd Middlesex,200.00
1397,04/15/2014,Committee To Elect  John Scibak,John Scibak,Rep. 2nd Hampshire,200.00
1397,04/15/2014,The Naughton Committee,Harold Naughton,Rep. 12th Worcester,150.00
1397,04/15/2014,Friends of Mike Rush,Mike Rush,Senate Norfolk and Suffolk,150.00
1397,04/15/2014,Committee To Elect   John Mahoney,John J. Mahoney,Rep. 13th Worcester,125.00
1397,04/17/2014,Committee To Elect Karen Spilka,Karen Spilka,Senate 2nd Middlesex and Norfolk,150.00
1397,04/18/2014,Committee To Elect Angelo Puppulo,Angelo Puppolo,Rep. 12th Hampden,100.00
1397,04/29/2014,The Kafka  Committee,Louis Kafka,Rep. 8th Norfolk,200.00
1397,04/29/2014,Bill Galvin  Committee,William C. Galvin,Rep. 6th Norfolk,200.00
1397,04/29/2014,Committee To Elect Linda Dorcena Forry,Linda Dorcena Forry,Senate 1st Suffolk,200.00
1397,04/29/2014,Committee To Elect Warren Tolman,Warren Tolman,Attorney General,200.00
1397,04/29/2014,The Anthony Petruccelli   Committee,Anthony Petruccelli,Senate 1st Suffolk and Middlesex,150.00
1397,05/08/2014,Committee To Elect Sal DiDomenico,Sal DiDomenico,Senate Middlesex and Suffolk,200.00
1397,05/08/2014,Committee for a Democratic  Senate,Committee for a Democratic Senate,Democratic Senate PAC,200.00
1397,05/09/2014,Committee To Elect Tom Kennedy,Thomas P. Kennedy,Senate 2nd Plymouth and Bristol,200.00
1397,05/09/2014,Jim Timilty,James Timilty,Senate Bristol and Norfolk,150.00
1397,05/09/2014,Committee  For a Democratic  House,Committee for a Democratic House,Democratic House PAC,200.00
1397,05/09/2014,Committee  to Re-elect Tom Petrolati,Thomas Petrolati,Rep. 7th Hampden,100.00
1397,05/28/2014,Committee To Elect  Kate Hogan,Kate Hogan,Rep. 3rd Middlesex,150.00
1397,05/28/2014,Committee To Elect  Thomas M. M Gee,Thomas McGee,Senate 3rd Essex and Hampden,200.00
1397,05/28/2014,Committee To  Re-elect Walter Timilty,Walter Timilty,Rep. 7th Norfolk,125.00
1397,05/28/2014,Committee To Elect Michael G. Bellotti,Michael G. Bellotti,Norfolk County Sheriff,150.00
1397,05/28/2014,Committee To Elect Bruce J. Ayers,Bruce Ayers,Rep. 1st Norfolk,100.00
1397,05/28/2014,The Wagner Committee,Joseph F. Wagner,Rep. 8th Hampden,200.00
1397,06/04/2014,Committee To Elect Robert Fennell,Robert F. Fennell,Rep. 10th Essex,100.00
1397,06/05/2014,Committee To Elect  Jennifer Flanagan,Jennifer L. Flanagan,Senate Worcester and Middlesex,150.00
1397,06/17/2014,The Nangle  Committee,David M. Nangle,Rep. 17th Middlesex,125.00
1397,06/18/2014,Committee  Re-Elect Kevin Honan,Kevin G. Honan,Rep. 17th Suffolk,100.00
1397,06/19/2014,The Bruce Tarr  Committee,Bruce Tarr,Senate 1st Essex and Middlesex,200.00
1397,06/24/2014,Committee To Re-elect Tom Sannicandro,Tom Sannicandro,Rep. 7th Middlesex,150.00
1397,06/24/2014,Committee To Elect  Cory Atkins,Cory Atkins,Rep. 14th Middlesex,150.00
1397,06/24/2014,The  Cutler  Committee,Josh S. Cutler,Rep 6th Plymouth,100.00
1397,07/08/2014,Committee To Elect Dave Rogers,David M. Rogers,Rep. 24th Middlesex,125.00
1397,07/15/2014,Diane Di Zoglio,Diana DiZoglio,Rep. 14th Essex,100.00
1397,07/23/2014,Michael Rodrigues,Michael J. Rodrigues,Sen. 1st Bristol & Plymouth,200.00
1397,08/05/2014,The Rogers Committee,John H. Rogers,Rep. 12th Norfolk,100.00
1397,08/05/2014,Committee To Elect James M. Murphy,James M. Murphy,Rep. 4th Norfolk,100.00
1397,08/05/2014,The Moran Committee,Michael J. Moran,Rep. 18th Suffolk,125.00
1397,08/20/2014,Barry Finegold,Barry Finegold,Treasurer,200.00
1397,09/25/2014,The Keenan Committee,John F. Keenan,Sen. Norfolk & Plymouth,200.00
1397,10/25/2014,Barbara L'Italien,Barbara L'Italien,Sen. 2nd Essex & Middlesex,200.00
1397,10/27/2014,Maura Healey,Maura Healey,Attorney General,200.00
1397,10/27/2014,Ted Speliotis,Theodore Speliotis,Rep. 13th Essex,200.00
1397,10/27/2014,Paul Mark,Paul Mark,Rep. 2nd Berkshire,100.00
1397,10/28/2014,The Baker Committee,Charles Baker,Governor,200.00
1397,12/03/2014,Eileen Donoghue,Eileen Donoghue,Sen. 1st Middlesex,150.00
1398,01/28/2014,The Petruccelli Committee,Anthony Petruccelli,"Senator, 1st Suffolk & Middlesex",200.00
1398,02/11/2014,Coakley Committee,Martha Coakley,Candidate for Governor,200.00
1398,02/25/2014,Warren Tolman,Warren Tolman,Candidate for Attorney General,200.00
1398,03/27/2014,The Polito Committee,Karyn Polito,Candidate for Lieutenant Governor,200.00
1398,05/06/2014,The Naughton Committee,Harold Naughton,"Representative, 12th District Worcester",125.00
1398,07/09/2014,Maura Healey,Maura Healey,Attorney General,200.00
1398,09/03/2014,Harriette Chandler,Harriette Chandler,"Senate, First Worcester District",200.00
1398,09/03/2014,Baker Committee,Charles Baker,Governor,200.00
1398,12/01/2014,Michael Cahill,Michael Cahill,Mayor of Beverly,200.00
1399,10/20/2014,Steve Kulik,Stephen Kulik,Representative First Franklin,30.00
1399,10/20/2014,Marc Pacheco,Marc R. Pacheco,Senator First Plymouth and Bristol,30.00
1401,01/22/2014,Joseph Sullivan Committee,Joseph C. Sullivan,"Mayor, Braintree",200.00
1401,02/05/2014,Linehan Committee,William Linehan,Boston City Council,200.00
1401,02/05/2014,Baker Committee,Charles Baker,Governor,200.00
1401,04/03/2014,Steve Tomkins Committee,Steven Tompkins,"Sheriff, Suffolk County",200.00
1401,04/09/2014,Sullivan (Michael) Committee,Michael Sullivan,Middlesex County District Attorney (Candidate),200.00
1401,04/10/2014,William Straus Committee,William Straus,"Representative, 10th Bristol District",200.00
1401,04/12/2014,Arroyo Campaign,Felix Arroyo,Boston City Council,200.00
1401,05/01/2014,Linda Dorcena Forry Committee,Linda Dorcena Forry,State Senate - 1st Suffolk District,200.00
1401,05/06/2014,Democratic Senate,Democratic Senate Committee,General,200.00
1401,05/14/2014,Democratic House,Democratic House Committee,General,200.00
1401,05/23/2014,Moran Committee,Michael J. Moran,"Representative, 18th Suffolk District",200.00
1401,06/18/2014,The Conley Committee,Daniel F. Conley,Suffolk County District Attorney,200.00
1401,08/06/2014,Kerrigan Committee,Steve Kerrigan,State Lieutenant Governor,200.00
1401,08/22/2014,Tierney Committee,John Tierney,U.S. Representative,500.00
1401,08/25/2014,Mike O'Keefe Committee,Michael O'Keefe,District Attorney - Cape & Islands,200.00
1401,09/18/2014,Walsh Committee,Martin Walsh,"Mayor, City of Boston",200.00
1401,09/29/2014,Ryan Committee,Marian Ryan,"District Attorney, Middlesex County",200.00
1401,09/29/2014,Deborah Goldberg Committee,Deborah Goldberg,State Treasurer,200.00
1401,10/10/2014,Scaccia Committee,Angelo Scaccia,State Representative - 14th Suffolk District,100.00
1401,10/11/2014,Chris Iannella Committee,Christopher Iannella,Governor's Council,120.00
1401,10/15/2014,Richard Moore Committee,Richard Moore,State Senate - 2nd Worcester District,200.00
1401,10/16/2014,Maura Healy Committee,Maura Healey,State Attorney General,200.00
1401,10/27/2014,MA State Democratic Party,Massachusetts Democratic Party,N/A,3000.00
1401,10/29/2014,Polito Committee,Karyn Polito,State Lieutenant Governor,200.00
1401,11/13/2014,Cronin Committee,Claire Cronin,State Representative - 11th Plymouth District,200.00
1406,01/17/2014,Martha Coakley Committee,Martha Coakley,Candidate for Governor,200.00
1406,01/27/2014,Mike Rodrigues Committee,Michael J. Rodrigues,Senator- 1st Bristol and Plymouth,200.00
1406,01/29/2014,Richard Moore Committee,Richard Moore,Senator- Worcester and Norfolk,200.00
1406,02/12/2014,Bob DeLeo Committee,Robert DeLeo,Representative- 19th Suffolk,200.00
1406,02/19/2014,Dan Hunt Committee,Daniel Hunt,Representative- 13th Suffolk,200.00
1406,02/19/2014,Laura Spathanas,Laura Spathanas,Swampscott Board of Selectmen,20.00
1406,03/05/2014,Suzanne Bump COmmittee,Suzanne Bump,Candidate for State Auditor,200.00
1406,03/13/2014,Jim Welch Committee,James T. Welch,Senator- Hampden,200.00
1406,03/13/2014,Aaron Michelewitz Committee,Aaron Michlewitz,Representative- 3rd Suffolk,200.00
1406,03/26/2014,Brian Dempsey Committee,Brian Dempsey,Representative- 3rd Essex,100.00
1406,03/27/2014,Ron Mariano Committee,Ronald Mariano,Representative- 3rd Norfolk,200.00
1406,04/01/2014,Steve Brewer Committee,Stephen Brewer,"Senator- Hampden, Hampshire, and Middlesex",100.00
1406,04/03/2014,Pad Haddad Committee,Patricia Haddad,Representative- 5th Bristol,200.00
1406,04/03/2014,Therese Murray Committee,Therese Murray,Senator- Plymouth and Barnstable,200.00
1406,04/04/2014,Tom Calter Committee,Thomas Calter,Representative- 12th Plymouth,200.00
1406,04/10/2014,Mark Cusack Committee,Mark J. Cusack,Representative- 5th Norfolk,200.00
1406,04/11/2014,Dan Dermody,Dan Dermody,Bristol County Commissioner,100.00
1406,04/11/2014,John Mahoney Committee,John J. Mahoney,Representative,100.00
1406,04/29/2014,Stan Rosenberg Committee,Stanley Rosenberg,"Senator- Hampshire, Franklin, and Worcester",200.00
1406,05/05/2014,Barry Finegold Committee,Barry Finegold,Senator- 2nd Essex and Middlesex,200.00
1406,05/06/2014,Ellen Story Committee,Ellen Story,Representative- 3rd Hampshire,150.00
1406,05/07/2014,Sal DiDomenico Committee,Sal DiDomenico,"Senator- Middlesex, Suffolk, and Essex",100.00
1406,05/08/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,PAC,200.00
1406,05/13/2014,Brian Dempsey Committee,Brian Dempsey,Representative- 3rd Suffolk,100.00
1406,05/14/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,PAC,200.00
1406,05/22/2014,Tom McGee Committee,Thomas McGee,Senator- 3rd Essex,200.00
1406,05/23/2014,Kate Hogan Committee,Kate Hogan,Representative- 3rd Middlesex,200.00
1406,06/09/2014,Bruce Tarr Committee,Bruce Tarr,Senator- 1st Essex and Middlesex,200.00
1406,06/26/2014,Joan Lovely Committee,Joan Lovely,Senator- 2nd Essex,200.00
1406,09/25/2014,Carlo Basile Committee,Carlo Basile,Representative First Suffolk,200.00
1406,10/14/2014,Martha Coakley Committee,Martha Coakley,Candidate for Governor,200.00
1406,10/14/2014,Steve Kerrigan Committee,Steve Kerrigan,Candidate for Lieutenant Governor,200.00
1406,10/17/2014,Maura Healey Committee,Maura Healey,Attorney General,200.00
1406,10/23/2014,Dick Moore Committee,Richard Moore,Senator- Worcester and Norfolk,200.00
1406,10/29/2014,Ed Cameron Committee,Edward Cameron,Candidate for Representative- 1st Essex,200.00
1406,10/29/2014,John Lawn Committee,John J. Lawn,Representative- 10th Middlesex,200.00
1406,12/03/2014,Marty Walsh Committee,Martin Walsh,Mayor- City of Boston,200.00
1406,07/23/2014,Mike Rodrigues Committee,Michael J. Rodrigues,Senator- 1st Bristol and Plymouth District,100.00
1406,07/29/2014,Moran Committee,Michael J. Moran,Representative- 18th Suffolk District,100.00
1406,09/04/2014,Coakley Committee,Martha Coakley,Candidate for Governor,50.00
1406,10/07/2014,Maura Healey Committee,Maura Healey,Attorney General,100.00
1406,10/14/2014,Katie Ives,Kathleen O'Connor Ives,Senator- First Essex District,50.00
1406,10/14/2014,Martha Coakley Committee,Martha Coakley,Candidate for Governor,150.00
1406,10/14/2014,Steve Kerrigan Committee,Steve Kerrigan,Candidate for Lieutenant Governor,100.00
1406,10/16/2014,Danielle Gregoire,Danielle Gregoire,Representative- 4th Middlesex,100.00
1406,10/22/2014,Richard Moore Committee,Richard Moore,Senator- Worcester and Norfolk,100.00
1406,07/01/2014,Ed Collins Committee,Edward W. Collins,Candidate for Representative-9th Hampden District,200.00
1406,07/09/2014,Anthony Petuccelli Committee,Anthony Petruccelli,Senator- 1st Suffolk and Middlesex,200.00
1406,07/16/2014,Denise Garlick Committee,Denise Garlick,Representative- 13th Norfolk,200.00
1406,07/29/2014,Sal LaMattina Committee,Sal LaMattina,Boston City Councillor,100.00
1406,07/31/2014,Marc Pacheco Committee,Marc R. Pacheco,Senator- 1st Plymouth and Bristol,100.00
1406,08/20/2014,Jen Flanagan Committee,Jennifer L. Flanagan,Senator- Worcester and Middlesex,100.00
1406,09/25/2014,Carlo Basile Committee,Carlo Basile,Representative- 1st Suffolk,200.00
1406,10/07/2014,Paul Tucker Committee,Paul Tucker,Representative- 7th Essex,100.00
1406,10/07/2014,Maura Healey Committee,Maura Healey,Attorney General,200.00
1406,10/14/2014,Steve Kerrigan Committee,Steve Kerrigan,Candidate for Lieutenant Governor,200.00
1406,10/14/2014,Katie Ives Committee,Kathleen O'Connor Ives,Senator- 1st Essex Senate,150.00
1406,10/22/2014,Deborah Goldberg Committee,Deborah Goldberg,Treasurer,100.00
1406,10/29/2014,Ed Cameron Committee,Edward Cameron,Representative- 1st Essex,200.00
1406,10/30/2014,Barbara L'Italien Committee,Barbara L'Italien,Senator- 2nd Essex and Middlesex,200.00
1406,11/19/2014,Lynn Democratic City Committee,Lynn Democratic City Committee,PAC,200.00
1406,12/03/2014,Eileen Donoghue Committee,Eileen Donoghue,Senator- 1st Middlesex Senate,100.00
1406,12/03/2014,Marty Walsh Committee,Martin Walsh,Mayor- City Of Boston,200.00
1406,12/09/2014,Kim Driscoll Committee,Kim Driscoll,Mayor- City of Salem,100.00
1406,12/15/2014,Jeffrey Sanchez,Jeffrey Sánchez,Representative- 15th Suffolk,100.00
1412,01/09/2014,Thomas Conroy,Thomas Conroy,Treasurer,100.00
1412,02/12/2014,Peter Kocot,Peter Kocot,"State Representative, First Hampshire District",200.00
1412,02/12/2014,Eward Coppinger,Edward Coppinger,"State Representative, Tenth Suffolk",125.00
1412,02/12/2014,Kenneth Donnelly,Kenneth Donnelly,"State Senator, Fourth Middlesex",200.00
1412,02/24/2014,Martin Walsh,Martin Walsh,Mayor of Boston,200.00
1412,03/06/2014,Kay Khan,Kay Khan,"State Representative, Eleventh Middlesex",125.00
1412,03/06/2014,Brian Dempsey,Brian Dempsey,"State Representative, Third Essex",200.00
1412,03/06/2014,Jeffrey Sanchez,Jeffrey Sánchez,"State Representative, Fifteenth Suffolk",200.00
1412,03/18/2014,Stanley Rosenberg,Stanley Rosenberg,"State Senator, Hampshire, Franklin and Worcester",200.00
1412,03/18/2014,Jason Lewis,Jason Lewis,"State Senator, Fifth Middlesex",125.00
1412,03/18/2014,Carlo Basile,Carlo Basile,"State Representative, First Suffolk",200.00
1412,04/01/2014,Stephen Brewer,Stephen Brewer,"State Senator, Worcester, Hampden, Hampshire and Middlesex",200.00
1412,04/01/2014,Antonio Cabral,Antonio Cabral,"State Representative, Thirteenth Bristol",200.00
1412,04/01/2014,Claire Cronin,Claire Cronin,"State Representative, Eleventh Plymouth",200.00
1412,04/01/2014,Stephen Kulik,Stephen Kulik,"State Representative, First Franklin",150.00
1412,04/01/2014,Michael Finn,Michael J. Finn,"State Representative, Sixth Hampden",150.00
1412,04/01/2014,Garrett Bradley,Garrett Bradley,"State Representative, Third Plymouth",200.00
1412,04/01/2014,Michael Costello,Michael Costello,"State Representative,First Essex",200.00
1412,04/08/2014,Mark Cusack,Mark J. Cusack,"State Representative, Fifth Norfolk",200.00
1412,04/16/2014,Paul Brodeur,Paul Brodeur,"State Representative,",200.00
1412,04/16/2014,Tackey Chan,Tackey Chan,"State Representative, Second Norfolk",200.00
1412,04/16/2014,David Nangle,David M. Nangle,"State Representative,Seventeenth Middlesex",200.00
1412,04/16/2014,Rhonda Nyman,Rhonda Nyman,"State Representative,Fifth Plymouth",200.00
1412,04/16/2014,Joseph Wagner,Joseph F. Wagner,"State Representative,Eighth Hampden",200.00
1412,04/28/2014,Louis Kafka,Louis Kafka,"State Representative, Eighth Norfolk",200.00
1412,04/28/2014,William Galvin,William C. Galvin,"State Representative, Sixth Norfolk",200.00
1412,05/01/2014,Brian Joyce,Brian Joyce,"State Senator, Norfolk, Bristol and Plymouth",200.00
1412,05/08/2014,Angelo Puppolo,Angelo Puppolo,"State Representative, Twelfth Hampden",200.00
1412,05/08/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,PAC,200.00
1412,05/15/2014,Anthony Petruccelli,Anthony Petruccelli,"State Senator, First Suffolk and Middlesex",200.00
1412,05/18/2014,Aaron Michlewitz,Aaron Michlewitz,"State Representative, Third Suffolk",200.00
1412,05/20/2014,Barry Finegold,Barry Finegold,State Treasurer,200.00
1412,05/20/2014,Martha Coakley,Martha Coakley,Governor,200.00
