refid,date,recipient,recipient_cleaned,office,amount
1102,04/17/2014,Jennifer L. Flanagan,Jennifer L. Flanagan,State Senator of the Worcester and Middlesex District,200.00
1102,04/17/2014,Viriato M. deMacedo,Viriato deMacedo,State Representative of the 1st Plymouth District,200.00
1102,04/29/2014,Bruce Ayers,Bruce Ayers,State Representative of the 1st Norfolk District,100.00
1102,05/08/2014,Committee for Democratic Senate,Committee for a Democratic Senate,Committee for a Democratic Senate,200.00
1102,05/08/2014,Sal N. DiDomenico,Sal DiDomenico,State Senator of the Middlesex and Suffolk District,200.00
1102,05/13/2014,Barry R. Finegold,Barry Finegold,State Senator of the 2nd Essex and Middlesex District,200.00
1102,05/14/2014,Thomas P. Kennedy,Thomas P. Kennedy,State Senator of the 2nd Plymouth and Bristol District,200.00
1102,05/14/2014,James E. Timilty,James Timilty,State Senator of the Bristol and Norfolk District,200.00
1102,05/14/2014,Committee for a Democratic House,Committee for a Democratic House,Committee for a Democratic House,200.00
1102,05/21/2014,Danielle Gregoire,Danielle Gregoire,State Representative of the 4th Middlesex District,200.00
1102,05/21/2014,Nick Collins,Nicholas P. Collins,State Representative of the 4th Suffolk District,200.00
1102,05/28/2014,Steve Kerrigan,Steve Kerrigan,Candidate for the Lieutenant Governor of the Commonwealth,100.00
1102,06/09/2014,Bruce Tarr,Bruce Tarr,State Senator of the 1st Essex and Middlesex District,200.00
1102,06/17/2014,David M. Nangle,David M. Nangle,State Representative of the 17th Middlesex District,100.00
1102,06/18/2014,Steve Kerrigan,Steve Kerrigan,Candidate for the Lieutenant Governor of the Commonwealth,100.00
1102,06/18/2014,Thomas A. Golden,Thomas A. Golden,State Representative of the 16th Middlesex District,200.00
1102,06/26/2014,Warren Tolman,Warren Tolman,Candidate for the Attorney General of Massachusetts,200.00
1102,02/12/2014,Edward F. Coppinger,Edward Coppinger,State Representative of the 10th Suffolk District,200.00
1102,02/13/2014,Martha Coakley,Martha Coakley,Candidate for Governor of the Commonwealth,200.00
1102,02/25/2014,Robert DeLeo,Robert DeLeo,State Representative of the 19th Suffolk District,200.00
1102,03/27/2014,Ronald Mariano,Ronald Mariano,State Representative of the 3rd Norfolk District,200.00
1102,04/01/2014,Kathleen O'Connor Ives,Kathleen O'Connor Ives,State Senator of the 1st Essex District,200.00
1102,04/02/2014,"Bradley H. Jones, Jr.",Bradley H. Jones,State Representative of the 20th Middlesex District,200.00
1102,04/02/2014,Claire D. Cronin,Claire Cronin,State Representative of the 11th Plymouth District,100.00
1102,04/02/2014,Stephen Kulik,Stephen Kulik,State Representative of the 1st Franklin District,100.00
1102,04/02/2014,Patricia A. Haddad,Patricia Haddad,State Representative of the 5th Bristol District,200.00
1102,04/15/2014,Joseph F. Wagner,Joseph F. Wagner,State Representative of the 8th Hampden District,200.00
1102,04/15/2014,RAM PAC,RAM PAC,Retailers Association of Massachusetts PAC,200.00
1102,04/15/2014,Aaron Michlewitz,Aaron Michlewitz,State Representative of the 3rd Suffolk District,100.00
1102,04/16/2014,John W. Scibak,John Scibak,State Representative of the 2nd Hampshire District,100.00
1102,04/16/2014,David M. Nangle,David M. Nangle,State Representative of the 17th Middlesex District,100.00
1102,04/16/2014,"Harold P. Naughton, Jr.",Harold Naughton,State Representative of the 12th Worcester District,200.00
1102,04/16/2014,Michael F. Rush,Mike Rush,State Senator of the Norfolk and Suffolk District,100.00
1102,04/17/2014,Jennifer L. Flanagan,Jennifer L. Flanagan,State Senator of the Worcester and Middlesex District,200.00
1102,04/17/2014,Viriato M. deMacedo,Viriato deMacedo,State Representative of the 1st Plymouth District,200.00
1102,04/17/2014,MA Bev PAC,Mass Bev PAC,Massachusetts Beverage Association PAC,200.00
1102,05/08/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,Committee for a Democratic Senate,200.00
1102,05/08/2014,Sal N. DiDomenico,Sal DiDomenico,State Senator of the Middlesex and Suffolk District,200.00
1102,05/10/2014,Barry R. Finegold,Barry Finegold,State Senator of the 2nd Essex and Middlesex District,200.00
1102,05/10/2014,James E. Timilty,James Timilty,State Senator of the Bristol and Norfolk District,200.00
1102,05/20/2014,Nick Collins,Nicholas P. Collins,State Representative of the 4th Suffolk District,200.00
1102,05/21/2014,Brian S. Dempsey,Brian Dempsey,State Representative of the 3rd Essex District,200.00
1102,05/28/2014,Steve Kerrigan,Steve Kerrigan,Candidate for the Lieutenant Governor of the Commonwealth,100.00
1102,06/17/2014,David M. Nangle,David M. Nangle,State Representative of the 17th Middlesex District,100.00
1102,06/18/2014,"Thomas A. Golden, Jr.",Thomas A. Golden,State Representative of the 16th Middlesex District,200.00
1102,06/18/2014,Michael O. Moore,Michael Moore,State Senator of the 2nd Worcester District,200.00
1102,06/18/2014,Steve Kerrigan,Steve Kerrigan,Candidate for the Lieutenant Governor of the Commonwealth,100.00
1102,06/26/2014,Warren Tolman,Warren Tolman,Candidate for the Attorney General of Massachusetts,200.00
1102,01/23/2014,Richard T. Moore,Richard Moore,State Senator of the Worcester and Norfolk District,200.00
1102,02/04/2014,Edward F. Coppinger,Edward Coppinger,State Representative of the 10th Suffolk District,100.00
1102,02/04/2014,Martha Coakley,Martha Coakley,Candidate for the Governor of the Commonwealth,200.00
1102,02/04/2014,Cheryl Schoenfeld,Cheryl Schoenfeld,Candidate for the State Representative for the 11th Norfolk District,100.00
1102,02/11/2014,Harriette L. Chandler,Harriette Chandler,State Senator of the 1st Worcester District,200.00
1102,02/27/2014,Robert DeLeo,Robert DeLeo,State Representative of the 19th Suffolk District,200.00
1102,03/11/2014,James T. Welch,James T. Welch,State Senator of the Hampden District,200.00
1102,04/01/2014,Kathleen O'Connor Ives,Kathleen O'Connor Ives,State Senator of the 1st Essex District,200.00
1102,04/02/2014,"Bradley H. Jones, Jr.",Bradley H. Jones,State Representative of the 20th Middlesex District,200.00
1102,04/02/2014,Claire D. Cronin,Claire Cronin,State Representative of the 11th Plymouth District,100.00
1102,04/10/2014,William M. Straus,William Straus,State Representative of the 10th Bristol District,200.00
1102,04/10/2014,Suzanne Bump,Suzanne Bump,Candidate for Massachusetts State Auditor,200.00
1102,04/14/2014,James J. Dwyer,James Dwyer,State Representative of the 30th Middlesex District,150.00
1102,04/14/2014,Joseph F. Wagner,Joseph F. Wagner,State Representative of the 8th Hampden District,200.00
1102,04/14/2014,Stanley Rosenberg,Stanley Rosenberg,"State Senator of the Hampshire, Franklin and Worcester District",200.00
1102,04/15/2014,RAM PAC,RAM PAC,Retailers Association of Massachusetts PAC,200.00
1102,04/15/2014,Mass Bev PAC,Mass Bev PAC,Massachusetts Beverage Association PAC,200.00
1102,04/16/2014,Tackey Chan,Tackey Chan,State Representative of the 2nd Norfolk District,150.00
1102,04/17/2014,Viriato M. deMacedo,Viriato deMacedo,State Representative of the 1st Plymouth District,200.00
1102,05/14/2014,Thomas Kennedy,Thomas P. Kennedy,State Senator of the 2nd Plymouth and Bristol District,200.00
1102,05/14/2014,James E. Timilty,James Timilty,State Senator of the Bristol and Norfolk District,200.00
1102,05/21/2014,Brian S. Dempsey,Brian Dempsey,State Representative of the 3rd Essex District,200.00
1102,06/18/2014,Michael O. Moore,Michael Moore,State Senator of the Second Worcester District,200.00
1102,06/26/2014,Warren Tolman,Warren Tolman,Candidate for the Attorney General of Massachusetts,200.00
1102,07/16/2014,Diane DiZoglio,Diana DiZoglio,State Representative of the Fourteenth Essex District,100.00
1102,07/16/2014,Daniel M. Donahue,Daniel M. Donahue,State Representative of the Sixteenth Worcester District,100.00
1102,07/23/2014,John J. Lawn,John J. Lawn,State Representative of the Tenth Middlesex District,200.00
